#gene	symbol	name
63	ACTBP3	actin, beta pseudogene 3
64	ACTBP4	actin, beta pseudogene 4
66	ACTBP6	actin, beta pseudogene 6
67	ACTBP7	actin, beta pseudogene 7
68	ACTBP8	actin, beta pseudogene 8
69	ACTBP9	actin, beta pseudogene 9
70	ACTC1	actin, alpha, cardiac muscle 1
71	ACTG1	actin, gamma 1
72	ACTG2	actin, gamma 2, smooth muscle, enteric
73	ACTG1P1	actin, gamma 1 pseudogene 1
74	ACTG1P2	actin, gamma 1 pseudogene 2
75	ACTG1P3	actin, gamma 1 pseudogene 3
78	ACTG1P6	actin, gamma 1 pseudogene 6
79	ACTG1P7	actin, gamma 1 pseudogene 7
80	ACTG1P8	actin, gamma 1 pseudogene 8
81	ACTN4	actinin, alpha 4
82	ACTG1P9	actin, gamma 1 pseudogene 9
83	ACTG1P10	actin, gamma 1 pseudogene 10
86	ACTL6A	actin-like 6A
87	ACTN1	actinin, alpha 1
88	ACTN2	actinin, alpha 2
89	ACTN3	actinin, alpha 3
90	ACVR1	activin A receptor, type I
91	ACVR1B	activin A receptor, type IB
92	ACVR2A	activin A receptor, type IIA
93	ACVR2B	activin A receptor, type IIB
94	ACVRL1	activin A receptor type II-like 1
95	ACY1	aminoacylase 1
97	ACYP1	acylphosphatase 1, erythrocyte (common) type
98	ACYP2	acylphosphatase 2, muscle type
100	ADA	adenosine deaminase
101	ADAM8	ADAM metallopeptidase domain 8
102	ADAM10	ADAM metallopeptidase domain 10
103	ADAR	adenosine deaminase, RNA-specific
104	ADARB1	adenosine deaminase, RNA-specific, B1
105	ADARB2	adenosine deaminase, RNA-specific, B2 (non-functional)
106	ADCP1	adenosine deaminase complexing protein 1
107	ADCY1	adenylate cyclase 1 (brain)
108	ADCY2	adenylate cyclase 2 (brain)
109	ADCY3	adenylate cyclase 3
111	ADCY5	adenylate cyclase 5
112	ADCY6	adenylate cyclase 6
113	ADCY7	adenylate cyclase 7
114	ADCY8	adenylate cyclase 8 (brain)
115	ADCY9	adenylate cyclase 9
116	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)
117	ADCYAP1R1	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I
118	ADD1	adducin 1 (alpha)
119	ADD2	adducin 2 (beta)
120	ADD3	adducin 3 (gamma)
122	ADFN	albinism-deafness syndrome
123	PLIN2	perilipin 2
124	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide
125	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
126	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide
127	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide
128	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide
130	ADH6	alcohol dehydrogenase 6 (class V)
131	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide
132	ADK	adenosine kinase
133	ADM	adrenomedullin
134	ADORA1	adenosine A1 receptor
135	ADORA2A	adenosine A2a receptor
136	ADORA2B	adenosine A2b receptor
137	ADORA2BP1	adenosine A2b receptor pseudogene 1
140	ADORA3	adenosine A3 receptor
141	ADPRH	ADP-ribosylarginine hydrolase
142	PARP1	poly (ADP-ribose) polymerase 1
143	PARP4	poly (ADP-ribose) polymerase family, member 4
144	PARP1P1	poly (ADP-ribose) polymerase family, member 1 pseudogene 1
145	PARP1P2	poly (ADP-ribose) polymerase family, member 1 pseudogene 2
146	ADRA1D	adrenoceptor alpha 1D
147	ADRA1B	adrenoceptor alpha 1B
148	ADRA1A	adrenoceptor alpha 1A
150	ADRA2A	adrenoceptor alpha 2A
151	ADRA2B	adrenoceptor alpha 2B
152	ADRA2C	adrenoceptor alpha 2C
153	ADRB1	adrenoceptor beta 1
154	ADRB2	adrenoceptor beta 2, surface
155	ADRB3	adrenoceptor beta 3
156	ADRBK1	adrenergic, beta, receptor kinase 1
157	ADRBK2	adrenergic, beta, receptor kinase 2
158	ADSL	adenylosuccinate lyase
159	ADSS	adenylosuccinate synthase
160	AP2A1	adaptor-related protein complex 2, alpha 1 subunit
161	AP2A2	adaptor-related protein complex 2, alpha 2 subunit
162	AP1B1	adaptor-related protein complex 1, beta 1 subunit
163	AP2B1	adaptor-related protein complex 2, beta 1 subunit
164	AP1G1	adaptor-related protein complex 1, gamma 1 subunit
165	AEBP1	AE binding protein 1
166	AES	amino-terminal enhancer of split
167	CRISP1	cysteine-rich secretory protein 1
169	AF8T	AF8 temperature sensitivity complementing
170	AFA	ankyloblepharon filiforme adnatum
171	AFD1	acrofacial dysostosis 1, Nager type
172	AFG3L1P	AFG3-like AAA ATPase 1, pseudogene
173	AFM	afamin
174	AFP	alpha-fetoprotein
175	AGA	aspartylglucosaminidase
176	ACAN	aggrecan
177	AGER	advanced glycosylation end product-specific receptor
178	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase
179	AGMX2	agammaglobulinemia, X-linked 2 (with growth hormone deficiency)
181	AGRP	agouti related protein homolog (mouse)
182	JAG1	jagged 1
183	AGT	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)
185	AGTR1	angiotensin II receptor, type 1
186	AGTR2	angiotensin II receptor, type 2
187	APLNR	apelin receptor
189	AGXT	alanine-glyoxylate aminotransferase
190	NR0B1	nuclear receptor subfamily 0, group B, member 1
191	AHCY	adenosylhomocysteinase
192	AIC	Aicardi syndrome
196	AHR	aryl hydrocarbon receptor
197	AHSG	alpha-2-HS-glycoprotein
199	AIF1	allograft inflammatory factor 1
201	AIH3	amelogenesis imperfecta 3, hypomaturation or hypoplastic type
202	AIM1	absent in melanoma 1
203	AK1	adenylate kinase 1
204	AK2	adenylate kinase 2
205	AK4	adenylate kinase 4
206	AK4P1	adenylate kinase 4 pseudogene 1
207	AKT1	v-akt murine thymoma viral oncogene homolog 1
208	AKT2	v-akt murine thymoma viral oncogene homolog 2
210	ALAD	aminolevulinate dehydratase
211	ALAS1	aminolevulinate, delta-, synthase 1
212	ALAS2	aminolevulinate, delta-, synthase 2
213	ALB	albumin
214	ALCAM	activated leukocyte cell adhesion molecule
215	ABCD1	ATP-binding cassette, sub-family D (ALD), member 1
216	ALDH1A1	aldehyde dehydrogenase 1 family, member A1
217	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)
218	ALDH3A1	aldehyde dehydrogenase 3 family, member A1
219	ALDH1B1	aldehyde dehydrogenase 1 family, member B1
220	ALDH1A3	aldehyde dehydrogenase 1 family, member A3
221	ALDH3B1	aldehyde dehydrogenase 3 family, member B1
222	ALDH3B2	aldehyde dehydrogenase 3 family, member B2
223	ALDH9A1	aldehyde dehydrogenase 9 family, member A1
224	ALDH3A2	aldehyde dehydrogenase 3 family, member A2
225	ABCD2	ATP-binding cassette, sub-family D (ALD), member 2
226	ALDOA	aldolase A, fructose-bisphosphate
228	ALDOAP2	aldolase A, fructose-bisphosphate pseudogene 2
229	ALDOB	aldolase B, fructose-bisphosphate
230	ALDOC	aldolase C, fructose-bisphosphate
231	AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)
236	AKR1B1P2	aldo-keto reductase family 1, member B1 pseudogene 2
238	ALK	anaplastic lymphoma receptor tyrosine kinase
239	ALOX12	arachidonate 12-lipoxygenase
240	ALOX5	arachidonate 5-lipoxygenase
241	ALOX5AP	arachidonate 5-lipoxygenase-activating protein
242	ALOX12B	arachidonate 12-lipoxygenase, 12R type
243	ALOX12P1	arachidonate 12-lipoxygenase pseudogene 1
244	ANXA8L2	annexin A8-like 2
245	ALOX12P2	arachidonate 12-lipoxygenase pseudogene 2
246	ALOX15	arachidonate 15-lipoxygenase
247	ALOX15B	arachidonate 15-lipoxygenase, type B
248	ALPI	alkaline phosphatase, intestinal
249	ALPL	alkaline phosphatase, liver/bone/kidney
250	ALPP	alkaline phosphatase, placental
251	ALPPL2	alkaline phosphatase, placental-like 2
253	ALS3	amyotrophic lateral sclerosis 3 (autosomal dominant)
255	ALS5	amyotrophic lateral sclerosis 5
257	ALX3	ALX homeobox 3
258	AMBN	ameloblastin (enamel matrix protein)
259	AMBP	alpha-1-microglobulin/bikunin precursor
261	AMCN	arthrogryposis multiplex congenita, neurogenic
262	AMD1	adenosylmethionine decarboxylase 1
263	AMDP1	adenosylmethionine decarboxylase pseudogene 1
265	AMELX	amelogenin, X-linked
266	AMELY	amelogenin, Y-linked
267	AMFR	autocrine motility factor receptor, E3 ubiquitin protein ligase
268	AMH	anti-Mullerian hormone
269	AMHR2	anti-Mullerian hormone receptor, type II
270	AMPD1	adenosine monophosphate deaminase 1
271	AMPD2	adenosine monophosphate deaminase 2
272	AMPD3	adenosine monophosphate deaminase 3
273	AMPH	amphiphysin
274	BIN1	bridging integrator 1
275	AMT	aminomethyltransferase
276	AMY1A	amylase, alpha 1A (salivary)
277	AMY1B	amylase, alpha 1B (salivary)
278	AMY1C	amylase, alpha 1C (salivary)
279	AMY2A	amylase, alpha 2A (pancreatic)
280	AMY2B	amylase, alpha 2B (pancreatic)
281	AMYP1	amylase, alpha pseudogene 1
282	ANCR	Angelman syndrome chromosome region
283	ANG	angiogenin, ribonuclease, RNase A family, 5
284	ANGPT1	angiopoietin 1
285	ANGPT2	angiopoietin 2
286	ANK1	ankyrin 1, erythrocytic
287	ANK2	ankyrin 2, neuronal
288	ANK3	ankyrin 3, node of Ranvier (ankyrin G)
289	ANOP1	anophthalmos 1 (with mental retardation, without limb anomalies or dental or urogenital abnormalities)
290	ANPEP	alanyl (membrane) aminopeptidase
291	SLC25A4	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4
292	SLC25A5	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5
293	SLC25A6	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6
301	ANXA1	annexin A1
302	ANXA2	annexin A2
303	ANXA2P1	annexin A2 pseudogene 1
304	ANXA2P2	annexin A2 pseudogene 2
305	ANXA2P3	annexin A2 pseudogene 3
306	ANXA3	annexin A3
307	ANXA4	annexin A4
308	ANXA5	annexin A5
309	ANXA6	annexin A6
310	ANXA7	annexin A7
311	ANXA11	annexin A11
312	ANXA13	annexin A13
313	AOAH	acyloxyacyl hydrolase (neutrophil)
314	AOC2	amine oxidase, copper containing 2 (retina-specific)
316	AOX1	aldehyde oxidase 1
317	APAF1	apoptotic peptidase activating factor 1
318	NUDT2	nudix (nucleoside diphosphate linked moiety X)-type motif 2
319	APOF	apolipoprotein F
320	APBA1	amyloid beta (A4) precursor protein-binding, family A, member 1
321	APBA2	amyloid beta (A4) precursor protein-binding, family A, member 2
322	APBB1	amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)
323	APBB2	amyloid beta (A4) precursor protein-binding, family B, member 2
324	APC	adenomatous polyposis coli
325	APCS	amyloid P component, serum
326	AIRE	autoimmune regulator
327	APEH	acylaminoacyl-peptide hydrolase
328	APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1
329	BIRC2	baculoviral IAP repeat containing 2
330	BIRC3	baculoviral IAP repeat containing 3
331	XIAP	X-linked inhibitor of apoptosis
332	BIRC5	baculoviral IAP repeat containing 5
333	APLP1	amyloid beta (A4) precursor-like protein 1
334	APLP2	amyloid beta (A4) precursor-like protein 2
335	APOA1	apolipoprotein A-I
336	APOA2	apolipoprotein A-II
337	APOA4	apolipoprotein A-IV
338	APOB	apolipoprotein B
339	APOBEC1	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1
341	APOC1	apolipoprotein C-I
342	APOC1P1	apolipoprotein C-I pseudogene 1
343	AQP8	aquaporin 8
344	APOC2	apolipoprotein C-II
345	APOC3	apolipoprotein C-III
346	APOC4	apolipoprotein C-IV
347	APOD	apolipoprotein D
348	APOE	apolipoprotein E
350	APOH	apolipoprotein H (beta-2-glycoprotein I)
351	APP	amyloid beta (A4) precursor protein
353	APRT	adenine phosphoribosyltransferase
354	KLK3	kallikrein-related peptidase 3
355	FAS	Fas cell surface death receptor
356	FASLG	Fas ligand (TNF superfamily, member 6)
357	SHROOM2	shroom family member 2
358	AQP1	aquaporin 1
359	AQP2	aquaporin 2 (collecting duct)
360	AQP3	aquaporin 3 (Gill blood group)
361	AQP4	aquaporin 4
362	AQP5	aquaporin 5
363	AQP6	aquaporin 6, kidney specific
364	AQP7	aquaporin 7
366	AQP9	aquaporin 9
367	AR	androgen receptor
368	ABCC6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6
369	ARAF	v-raf murine sarcoma 3611 viral oncogene homolog
372	ARCN1	archain 1
373	TRIM23	tripartite motif containing 23
374	AREG	amphiregulin
375	ARF1	ADP-ribosylation factor 1
377	ARF3	ADP-ribosylation factor 3
378	ARF4	ADP-ribosylation factor 4
379	ARL4D	ADP-ribosylation factor-like 4D
380	ARF4P1	ADP-ribosylation factor 4 pseudogene 1
381	ARF5	ADP-ribosylation factor 5
382	ARF6	ADP-ribosylation factor 6
383	ARG1	arginase 1
384	ARG2	arginase 2
387	RHOA	ras homolog family member A
388	RHOB	ras homolog family member B
389	RHOC	ras homolog family member C
390	RND3	Rho family GTPase 3
391	RHOG	ras homolog family member G
392	ARHGAP1	Rho GTPase activating protein 1
393	ARHGAP4	Rho GTPase activating protein 4
394	ARHGAP5	Rho GTPase activating protein 5
395	ARHGAP6	Rho GTPase activating protein 6
396	ARHGDIA	Rho GDP dissociation inhibitor (GDI) alpha
397	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta
398	ARHGDIG	Rho GDP dissociation inhibitor (GDI) gamma
399	RHOH	ras homolog family member H
400	ARL1	ADP-ribosylation factor-like 1
401	PHOX2A	paired-like homeobox 2a
402	ARL2	ADP-ribosylation factor-like 2
403	ARL3	ADP-ribosylation factor-like 3
405	ARNT	aryl hydrocarbon receptor nuclear translocator
406	ARNTL	aryl hydrocarbon receptor nuclear translocator-like
407	ARR3	arrestin 3, retinal (X-arrestin)
408	ARRB1	arrestin, beta 1
409	ARRB2	arrestin, beta 2
410	ARSA	arylsulfatase A
411	ARSB	arylsulfatase B
412	STS	steroid sulfatase (microsomal), isozyme S
413	ARSC2	arylsulfatase C, isozyme F
414	ARSD	arylsulfatase D
415	ARSE	arylsulfatase E (chondrodysplasia punctata 1)
416	ARSF	arylsulfatase F
417	ART1	ADP-ribosyltransferase 1
418	ART2P	ADP-ribosyltransferase 2, pseudogene
419	ART3	ADP-ribosyltransferase 3
420	ART4	ADP-ribosyltransferase 4
421	ARVCF	armadillo repeat gene deleted in velocardiofacial syndrome
424	ARVD3	arrhythmogenic right ventricular dysplasia 3
425	ARVD4	arrhythmogenic right ventricular dysplasia 4
427	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1
429	ASCL1	achaete-scute family bHLH transcription factor 1
430	ASCL2	achaete-scute family bHLH transcription factor 2
431	ASD1	atrial septal defect 1
432	ASGR1	asialoglycoprotein receptor 1
433	ASGR2	asialoglycoprotein receptor 2
434	ASIP	agouti signaling protein
435	ASL	argininosuccinate lyase
436	ASLP1	argininosuccinate lyase pseudogene 1
437	ASMD	anterior segment mesenchymal dysgenesis
438	ASMT	acetylserotonin O-methyltransferase
439	ASNA1	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)
440	ASNS	asparagine synthetase (glutamine-hydrolyzing)
442	ASNSP2	asparagine synthetase pseudogene 2
443	ASPA	aspartoacylase
444	ASPH	aspartate beta-hydroxylase
445	ASS1	argininosuccinate synthase 1
447	ASS1P2	argininosuccinate synthetase 1 pseudogene 2
449	ASS1P4	argininosuccinate synthetase 1 pseudogene 4
450	ASS1P5	argininosuccinate synthetase 1 pseudogene 5
451	ASS1P6	argininosuccinate synthetase 1 pseudogene 6
453	ASS1P8	argininosuccinate synthetase 1 pseudogene 8
454	ASS1P9	argininosuccinate synthetase 1 pseudogene 9
455	ASS1P10	argininosuccinate synthetase 1 pseudogene 10
459	ASS1P14	argininosuccinate synthetase 1 pseudogene 14
460	ASTN1	astrotactin 1
462	SERPINC1	serpin peptidase inhibitor, clade C (antithrombin), member 1
463	ZFHX3	zinc finger homeobox 3
465	ATD	asphixiating thoracic dystrophy (chondroectodermal dysplasia-like syndrome)
466	ATF1	activating transcription factor 1
467	ATF3	activating transcription factor 3
468	ATF4	activating transcription factor 4
469	ATF4P1	activating transcription factor 4 pseudogene 1
470	ATHS	atherosclerosis susceptibility (lipoprotein associated)
471	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
472	ATM	ataxia telangiectasia mutated
473	RERE	arginine-glutamic acid dipeptide (RE) repeats
474	ATOH1	atonal homolog 1 (Drosophila)
475	ATOX1	antioxidant 1 copper chaperone
476	ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide
477	ATP1A2	ATPase, Na+/K+ transporting, alpha 2 polypeptide
478	ATP1A3	ATPase, Na+/K+ transporting, alpha 3 polypeptide
479	ATP12A	ATPase, H+/K+ transporting, nongastric, alpha polypeptide
480	ATP1A4	ATPase, Na+/K+ transporting, alpha 4 polypeptide
481	ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide
482	ATP1B2	ATPase, Na+/K+ transporting, beta 2 polypeptide
483	ATP1B3	ATPase, Na+/K+ transporting, beta 3 polypeptide
484	ATP1B3P1	ATPase, Na+/K+ transporting, beta 3 pseudogene
485	ATP1B1P1	ATPase, Na+/K+ transporting, beta 1 polypeptide pseudogene 1
486	FXYD2	FXYD domain containing ion transport regulator 2
487	ATP2A1	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1
488	ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2
489	ATP2A3	ATPase, Ca++ transporting, ubiquitous
490	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1
491	ATP2B2	ATPase, Ca++ transporting, plasma membrane 2
492	ATP2B3	ATPase, Ca++ transporting, plasma membrane 3
493	ATP2B4	ATPase, Ca++ transporting, plasma membrane 4
495	ATP4A	ATPase, H+/K+ exchanging, alpha polypeptide
496	ATP4B	ATPase, H+/K+ exchanging, beta polypeptide
498	ATP5A1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle
501	ALDH7A1	aldehyde dehydrogenase 7 family, member A1
504	ATP5A1P2	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1 pseudogene 2
506	ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide
507	ATP5BP1	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide pseudogene 1
509	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1
513	ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit
514	ATP5E	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit
515	ATP5F1	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1
516	ATP5G1	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9)
517	ATP5G2	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9)
518	ATP5G3	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C3 (subunit 9)
520	ATP5G2P1	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9) pseudogene 1
521	ATP5I	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit E
522	ATP5J	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F6
523	ATP6V1A	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A
525	ATP6V1B1	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1
526	ATP6V1B2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2
527	ATP6V0C	ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c
528	ATP6V1C1	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1
529	ATP6V1E1	ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1
533	ATP6V0B	ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b
534	ATP6V1G2	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2
535	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1
537	ATP6AP1	ATPase, H+ transporting, lysosomal accessory protein 1
538	ATP7A	ATPase, Cu++ transporting, alpha polypeptide
539	ATP5O	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit
540	ATP7B	ATPase, Cu++ transporting, beta polypeptide
541	ALDH7A1P1	aldehyde dehydrogenase 7 family, member A1 pseudogene 1
542	ALDH7A1P2	aldehyde dehydrogenase 7 family, member A1 pseudogene 2
543	ALDH7A1P3	aldehyde dehydrogenase 7 family, member A1 pseudogene 3
544	ALDH7A1P4	aldehyde dehydrogenase 7 family, member A1 pseudogene 4
545	ATR	ataxia telangiectasia and Rad3 related
546	ATRX	alpha thalassemia/mental retardation syndrome X-linked
547	KIF1A	kinesin family member 1A
549	AUH	AU RNA binding protein/enoyl-CoA hydratase
550	AUP1	ancient ubiquitous protein 1
551	AVP	arginine vasopressin
552	AVPR1A	arginine vasopressin receptor 1A
553	AVPR1B	arginine vasopressin receptor 1B
554	AVPR2	arginine vasopressin receptor 2
558	AXL	AXL receptor tyrosine kinase
560	AZF1	azoospermia factor 1
563	AZGP1	alpha-2-glycoprotein 1, zinc-binding
566	AZU1	azurocidin 1
567	B2M	beta-2-microglobulin
568	B2MR	beta-2-microglobulin regulator
570	BAAT	bile acid CoA: amino acid N-acyltransferase (glycine N-choloyltransferase)
571	BACH1	BTB and CNC homology 1, basic leucine zipper transcription factor 1
572	BAD	BCL2-associated agonist of cell death
573	BAG1	BCL2-associated athanogene
574	BAGE	B melanoma antigen
575	BAI1	brain-specific angiogenesis inhibitor 1
576	BAI2	brain-specific angiogenesis inhibitor 2
577	BAI3	brain-specific angiogenesis inhibitor 3
578	BAK1	BCL2-antagonist/killer 1
579	NKX3-2	NK3 homeobox 2
580	BARD1	BRCA1 associated RING domain 1
581	BAX	BCL2-associated X protein
582	BBS1	Bardet-Biedl syndrome 1
583	BBS2	Bardet-Biedl syndrome 2
585	BBS4	Bardet-Biedl syndrome 4
586	BCAT1	branched chain amino-acid transaminase 1, cytosolic
587	BCAT2	branched chain amino-acid transaminase 2, mitochondrial
590	BCHE	butyrylcholinesterase
593	BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide
594	BCKDHB	branched chain keto acid dehydrogenase E1, beta polypeptide
595	CCND1	cyclin D1
596	BCL2	B-cell CLL/lymphoma 2
597	BCL2A1	BCL2-related protein A1
598	BCL2L1	BCL2-like 1
599	BCL2L2	BCL2-like 2
600	BAK1P1	BCL2-antagonist/killer 1 pseudogene 1
601	BAK1P2	BCL2-antagonist/killer 1 pseudogene 2
602	BCL3	B-cell CLL/lymphoma 3
603	BCL5	B-cell CLL/lymphoma 5
604	BCL6	B-cell CLL/lymphoma 6
605	BCL7A	B-cell CLL/lymphoma 7A
606	NBEAP1	neurobeachin pseudogene 1
607	BCL9	B-cell CLL/lymphoma 9
608	TNFRSF17	tumor necrosis factor receptor superfamily, member 17
610	HCN2	hyperpolarization activated cyclic nucleotide-gated potassium channel 2
611	OPN1SW	opsin 1 (cone pigments), short-wave-sensitive
613	BCR	breakpoint cluster region
616	BCRP4	breakpoint cluster region pseudogene 4
617	BCS1L	BC1 (ubiquinol-cytochrome c reductase) synthesis-like
618	BCYRN1	brain cytoplasmic RNA 1
619	BCYRN1P1	brain cytoplasmic RNA 1, pseudogene 1
620	BCYRN1P2	brain cytoplasmic RNA 1, pseudogene 2
622	BDH1	3-hydroxybutyrate dehydrogenase, type 1
623	BDKRB1	bradykinin receptor B1
624	BDKRB2	bradykinin receptor B2
626	BDMR	brachydactyly-mental retardation syndrome
627	BDNF	brain-derived neurotrophic factor
628	BEVI	baboon M7 virus integration site
629	CFB	complement factor B
631	BFSP1	beaded filament structural protein 1, filensin
632	BGLAP	bone gamma-carboxyglutamate (gla) protein
633	BGN	biglycan
634	CEACAM1	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)
635	BHMT	betaine--homocysteine S-methyltransferase
636	BICD1	bicaudal D homolog 1 (Drosophila)
637	BID	BH3 interacting domain death agonist
638	BIK	BCL2-interacting killer (apoptosis-inducing)
639	PRDM1	PR domain containing 1, with ZNF domain
640	BLK	B lymphoid tyrosine kinase
641	BLM	Bloom syndrome, RecQ helicase-like
642	BLMH	bleomycin hydrolase
643	CXCR5	chemokine (C-X-C motif) receptor 5
644	BLVRA	biliverdin reductase A
645	BLVRB	biliverdin reductase B (flavin reductase (NADPH))
646	BNC1	basonuclin 1
648	BMI1	BMI1 polycomb ring finger oncogene
649	BMP1	bone morphogenetic protein 1
650	BMP2	bone morphogenetic protein 2
651	BMP3	bone morphogenetic protein 3
652	BMP4	bone morphogenetic protein 4
653	BMP5	bone morphogenetic protein 5
654	BMP6	bone morphogenetic protein 6
655	BMP7	bone morphogenetic protein 7
656	BMP8B	bone morphogenetic protein 8b
657	BMPR1A	bone morphogenetic protein receptor, type IA
658	BMPR1B	bone morphogenetic protein receptor, type IB
