,Symbol,Name,Score
27147,DENND2A,DENN/MADD domain containing 2A,-1.962
56204,FAM214A,"family with sequence similarity 214, member A",-1.962
152189,CMTM8,CKLF-like MARVEL transmembrane domain containing 8,-1.96
7004,TEAD4,TEA domain family member 4,-1.959
766,CA7,carbonic anhydrase VII,-1.958
23244,PDS5A,"PDS5, regulator of cohesion maintenance, homolog A (S. cerevisiae)",-1.958
255330,NUP210P1,nucleoporin 210kDa pseudogene 1,-1.954
64798,DEPTOR,DEP domain containing MTOR-interacting protein,-1.953
283600,SLC25A47,"solute carrier family 25, member 47",-1.953
100506548,LOC100506548,uncharacterized LOC100506548,-1.95
57703,CWC22,CWC22 spliceosome-associated protein homolog (S. cerevisiae),-1.947
56271,BEX4,"brain expressed, X-linked 4",-1.945
30010,NXPH1,neurexophilin 1,-1.942
5903,RANBP2,RAN binding protein 2,-1.941
10000,AKT3,v-akt murine thymoma viral oncogene homolog 3,-1.94
55339,WDR33,WD repeat domain 33,-1.938
472,ATM,ataxia telangiectasia mutated,-1.937
23303,KIF13B,kinesin family member 13B,-1.936
115752,DIS3L,DIS3 mitotic control homolog (S. cerevisiae)-like,-1.932
79667,FLJ13197,uncharacterized FLJ13197,-1.93
10473,HMGN4,high mobility group nucleosomal binding domain 4,-1.929
387066,SNHG5,small nucleolar RNA host gene 5 (non-protein coding),-1.929
53630,BCMO1,"beta-carotene 15,15'-monooxygenase 1",-1.927
2625,GATA3,GATA binding protein 3,-1.923
79961,DENND2D,DENN/MADD domain containing 2D,-1.922
26084,ARHGEF26,Rho guanine nucleotide exchange factor (GEF) 26,-1.922
23642,SNHG1,small nucleolar RNA host gene 1 (non-protein coding),-1.92
2971,GTF3A,general transcription factor IIIA,-1.918
9079,LDB2,LIM domain binding 2,-1.916
22826,DNAJC8,"DnaJ (Hsp40) homolog, subfamily C, member 8",-1.914
83939,EIF2A,"eukaryotic translation initiation factor 2A, 65kDa",-1.914
55268,ECHDC2,enoyl CoA hydratase domain containing 2,-1.913
4548,MTR,5-methyltetrahydrofolate-homocysteine methyltransferase,-1.911
389123,IQCF2,IQ motif containing F2,-1.909
10286,BCAS2,breast carcinoma amplified sequence 2,-1.908
79443,FYCO1,FYVE and coiled-coil domain containing 1,-1.906
10056,FARSB,"phenylalanyl-tRNA synthetase, beta subunit",-1.906
51389,RWDD1,RWD domain containing 1,-1.904
8420,SNHG3,small nucleolar RNA host gene 3 (non-protein coding),-1.903
169436,C9orf96,chromosome 9 open reading frame 96,-1.901
130271,PLEKHH2,"pleckstrin homology domain containing, family H (with MyTH4 domain) member 2",-1.9
51020,HDDC2,HD domain containing 2,-1.898
100996251,LOC100996251,uncharacterized LOC100996251,-1.898
79970,ZNF767,zinc finger family member 767,-1.898
58527,ABRACL,ABRA C-terminal like,-1.896
8846,ALKBH1,"alkB, alkylation repair homolog 1 (E. coli)",-1.896
134147,CMBL,carboxymethylenebutenolidase homolog (Pseudomonas),-1.896
3646,EIF3E,"eukaryotic translation initiation factor 3, subunit E",-1.895
100132815,LOC100132815,importin 5 pseudogene,-1.894
53371,NUP54,nucleoporin 54kDa,-1.891
23122,CLASP2,cytoplasmic linker associated protein 2,-1.89
23415,KCNH4,"potassium voltage-gated channel, subfamily H (eag-related), member 4",-1.886
115817,DHRS1,dehydrogenase/reductase (SDR family) member 1,-1.884
6956,TRAV6,T cell receptor alpha variable 6,-1.883
6532,SLC6A4,"solute carrier family 6 (neurotransmitter transporter), member 4",-1.882
80745,THUMPD2,THUMP domain containing 2,-1.882
11108,PRDM4,PR domain containing 4,-1.881
29789,OLA1,Obg-like ATPase 1,-1.879
5407,PNLIPRP1,pancreatic lipase-related protein 1,-1.878
84450,ZNF512,zinc finger protein 512,-1.878
146198,ZFP90,ZFP90 zinc finger protein,-1.877
10848,PPP1R13L,"protein phosphatase 1, regulatory subunit 13 like",-1.873
814,CAMK4,calcium/calmodulin-dependent protein kinase IV,-1.872
1600,DAB1,"Dab, reelin signal transducer, homolog 1 (Drosophila)",-1.871
6322,SCML1,sex comb on midleg-like 1 (Drosophila),-1.871
6506,SLC1A2,"solute carrier family 1 (glial high affinity glutamate transporter), member 2",-1.87
5357,PLS1,plastin 1,-1.867
113612,CYP2U1,"cytochrome P450, family 2, subfamily U, polypeptide 1",-1.864
112817,HOGA1,4-hydroxy-2-oxoglutarate aldolase 1,-1.863
147657,ZNF480,zinc finger protein 480,-1.863
5411,PNN,"pinin, desmosome associated protein",-1.861
4649,MYO9A,myosin IXA,-1.86
80318,GKAP1,G kinase anchoring protein 1,-1.859
26254,OPTC,opticin,-1.859
5134,PDCD2,programmed cell death 2,-1.859
2066,ERBB4,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4,-1.855
627,BDNF,brain-derived neurotrophic factor,-1.853
92304,SCGB3A1,"secretoglobin, family 3A, member 1",-1.853
5830,PEX5,peroxisomal biogenesis factor 5,-1.852
101928900,LOC101928900,uncharacterized LOC101928900,-1.851
2882,GPX7,glutathione peroxidase 7,-1.85
84678,KDM2B,lysine (K)-specific demethylase 2B,-1.849
137902,PXDNL,peroxidasin homolog (Drosophila)-like,-1.849
10480,EIF3M,"eukaryotic translation initiation factor 3, subunit M",-1.847
3065,HDAC1,histone deacetylase 1,-1.847
283450,HECTD4,HECT domain containing E3 ubiquitin protein ligase 4,-1.846
55608,ANKRD10,ankyrin repeat domain 10,-1.845
5936,RBM4,RNA binding motif protein 4,-1.845
11180,WDR6,WD repeat domain 6,-1.844
54674,LRRN3,leucine rich repeat neuronal 3,-1.843
10199,MPHOSPH10,M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein),-1.843
23552,CDK20,cyclin-dependent kinase 20,-1.841
9538,EI24,etoposide induced 2.4,-1.841
11168,PSIP1,PC4 and SFRS1 interacting protein 1,-1.841
10921,RNPS1,"RNA binding protein S1, serine-rich domain",-1.841
11146,GLMN,"glomulin, FKBP associated protein",-1.84
2669,GEM,GTP binding protein overexpressed in skeletal muscle,-1.84
94039,ZNF101,zinc finger protein 101,-1.839
54463,FAM134B,"family with sequence similarity 134, member B",-1.837
151254,ALS2CR11,"amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 11",-1.835
23484,LEPROTL1,leptin receptor overlapping transcript-like 1,-1.835
84249,PSD2,pleckstrin and Sec7 domain containing 2,-1.834
79009,DDX50,DEAD (Asp-Glu-Ala-Asp) box polypeptide 50,-1.832
8838,WISP3,WNT1 inducible signaling pathway protein 3,-1.832
6875,TAF4B,"TAF4b RNA polymerase II, TATA box binding protein (TBP)-associated factor, 105kDa",-1.831
55900,ZNF302,zinc finger protein 302,-1.831
346653,FAM71F2,"family with sequence similarity 71, member F2",-1.829
129787,TMEM18,transmembrane protein 18,-1.829
253512,SLC25A30,"solute carrier family 25, member 30",-1.827
6870,TACR3,tachykinin receptor 3,-1.826
285740,LOC285740,uncharacterized LOC285740,-1.826
57820,CCNB1IP1,"cyclin B1 interacting protein 1, E3 ubiquitin protein ligase",-1.825
23731,TMEM245,transmembrane protein 245,-1.823
79568,C2orf47,chromosome 2 open reading frame 47,-1.822
23178,PASK,PAS domain containing serine/threonine kinase,-1.822
55014,STX17,syntaxin 17,-1.822
26009,ZZZ3,"zinc finger, ZZ-type containing 3",-1.822
3712,IVD,isovaleryl-CoA dehydrogenase,-1.821
81853,TMEM14B,transmembrane protein 14B,-1.821
10021,HCN4,hyperpolarization activated cyclic nucleotide-gated potassium channel 4,-1.82
10175,CNIH1,cornichon family AMPA receptor auxiliary protein 1,-1.819
26984,SEC22A,SEC22 vesicle trafficking protein homolog A (S. cerevisiae),-1.819
55304,SPTLC3,"serine palmitoyltransferase, long chain base subunit 3",-1.818
219736,STOX1,storkhead box 1,-1.816
284385,C19orf82,chromosome 19 open reading frame 82,-1.815
253959,RALGAPA1,"Ral GTPase activating protein, alpha subunit 1 (catalytic)",-1.815
5930,RBBP6,retinoblastoma binding protein 6,-1.814
255758,TCTEX1D2,Tctex1 domain containing 2,-1.813
2617,GARS,glycyl-tRNA synthetase,-1.811
642864,SPATA42,spermatogenesis associated 42 (non-protein coding),-1.811
9882,TBC1D4,"TBC1 domain family, member 4",-1.809
643836,ZFP62,ZFP62 zinc finger protein,-1.809
162655,ZNF519,zinc finger protein 519,-1.809
5151,PDE8A,phosphodiesterase 8A,-1.806
100130958,SYCE1L,synaptonemal complex central element protein 1-like,-1.805
7757,ZNF208,zinc finger protein 208,-1.805
339105,PRSS53,"protease, serine, 53",-1.802
7054,TH,tyrosine hydroxylase,-1.8
10486,CAP2,"CAP, adenylate cyclase-associated protein, 2 (yeast)",-1.799
9480,ONECUT2,one cut homeobox 2,-1.799
1407,CRY1,cryptochrome 1 (photolyase-like),-1.798
286184,LOC286184,uncharacterized LOC286184,-1.798
23357,ANGEL1,angel homolog 1 (Drosophila),-1.797
10125,RASGRP1,RAS guanyl releasing protein 1 (calcium and DAG-regulated),-1.796
100505538,RBM26-AS1,RBM26 antisense RNA 1,-1.796
439949,PRKCQ-AS1,PRKCQ antisense RNA 1,-1.792
7267,TTC3,tetratricopeptide repeat domain 3,-1.79
8504,PEX3,peroxisomal biogenesis factor 3,-1.788
24140,FTSJ1,FtsJ RNA methyltransferase homolog 1 (E. coli),-1.787
1381,CRABP1,cellular retinoic acid binding protein 1,-1.786
124512,METTL23,methyltransferase like 23,-1.786
283659,PRTG,protogenin,-1.786
100499177,THAP9-AS1,THAP9 antisense RNA 1,-1.785
101927870,LOC101927870,uncharacterized LOC101927870,-1.785
401463,LOC401463,uncharacterized LOC401463,-1.785
170506,DHX36,DEAH (Asp-Glu-Ala-His) box polypeptide 36,-1.783
140862,ISM1,"isthmin 1, angiogenesis inhibitor",-1.783
220004,PPP1R32,"protein phosphatase 1, regulatory subunit 32",-1.782
23629,BRD7P3,bromodomain containing 7 pseudogene 3,-1.779
84181,CHD6,chromodomain helicase DNA binding protein 6,-1.778
4956,ODF1,outer dense fiber of sperm tails 1,-1.778
8065,CUL5,cullin 5,-1.777
8801,SUCLG2,"succinate-CoA ligase, GDP-forming, beta subunit",-1.777
126272,EID2B,EP300 interacting inhibitor of differentiation 2B,-1.776
374454,KRT77,keratin 77,-1.776
9879,DDX46,DEAD (Asp-Glu-Ala-Asp) box polypeptide 46,-1.774
6812,STXBP1,syntaxin binding protein 1,-1.773
80323,CCDC68,coiled-coil domain containing 68,-1.772
64983,MRPL32,mitochondrial ribosomal protein L32,-1.772
51272,BET1L,Bet1 golgi vesicular membrane trafficking protein-like,-1.771
1594,CYP27B1,"cytochrome P450, family 27, subfamily B, polypeptide 1",-1.771
54954,FAM120C,family with sequence similarity 120C,-1.771
100294362,LOC100294362,uncharacterized LOC100294362,-1.77
8445,DYRK2,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2,-1.767
79956,ERMP1,endoplasmic reticulum metallopeptidase 1,-1.767
225689,MAPK15,mitogen-activated protein kinase 15,-1.767
28670,TRAV13-2,T cell receptor alpha variable 13-2,-1.767
27327,TNRC6A,trinucleotide repeat containing 6A,-1.766
6605,SMARCE1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1",-1.765
128077,LIX1L,Lix1 homolog (mouse)-like,-1.764
101926978,LINC01111,long intergenic non-protein coding RNA 1111,-1.764
7109,TRAPPC10,trafficking protein particle complex 10,-1.763
4741,NEFM,"neurofilament, medium polypeptide",-1.762
80135,RPF1,ribosome production factor 1 homolog (S. cerevisiae),-1.761
64699,TMPRSS3,"transmembrane protease, serine 3",-1.761
388650,FAM69A,"family with sequence similarity 69, member A",-1.759
128,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide",-1.756
10913,EDAR,ectodysplasin A receptor,-1.756
2774,GNAL,"guanine nucleotide binding protein (G protein), alpha activating activity polypeptide, olfactory type",-1.756
171024,SYNPO2,synaptopodin 2,-1.756
9695,EDEM1,"ER degradation enhancer, mannosidase alpha-like 1",-1.755
27306,HPGDS,hematopoietic prostaglandin D synthase,-1.754
51691,NAA38,"N(alpha)-acetyltransferase 38, NatC auxiliary subunit",-1.752
147138,TMC8,transmembrane channel-like 8,-1.75
4848,CNOT2,"CCR4-NOT transcription complex, subunit 2",-1.749
79068,FTO,fat mass and obesity associated,-1.748
57198,ATP8B2,"ATPase, aminophospholipid transporter, class I, type 8B, member 2",-1.747
23077,MYCBP2,"MYC binding protein 2, E3 ubiquitin protein ligase",-1.747
5155,PDGFB,platelet-derived growth factor beta polypeptide,-1.747
5737,PTGFR,prostaglandin F receptor (FP),-1.747
4221,MEN1,multiple endocrine neoplasia I,-1.746
6146,RPL22,ribosomal protein L22,-1.744
8443,GNPAT,glyceronephosphate O-acyltransferase,-1.741
100507477,LOC100507477,uncharacterized LOC100507477,-1.741
3117,HLA-DQA1,"major histocompatibility complex, class II, DQ alpha 1",-1.74
203522,DDX26B,DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B,-1.739
54915,YTHDF1,"YTH domain family, member 1",-1.738
85013,TMEM128,transmembrane protein 128,-1.737
8481,OFD1,oral-facial-digital syndrome 1,-1.733
93622,LOC93622,Morf4 family associated protein 1-like 1 pseudogene,-1.731
219537,SMTNL1,smoothelin-like 1,-1.73
101927447,LOC101927447,uncharacterized LOC101927447,-1.729
283174,MIR4697HG,MIR4697 host gene (non-protein coding),-1.728
6832,SUPV3L1,"suppressor of var1, 3-like 1 (S. cerevisiae)",-1.728
90075,ZNF30,zinc finger protein 30,-1.726
4162,MCAM,melanoma cell adhesion molecule,-1.725
9832,JAKMIP2,janus kinase and microtubule interacting protein 2,-1.723
27309,ZNF330,zinc finger protein 330,-1.722
9324,HMGN3,high mobility group nucleosomal binding domain 3,-1.721
339751,MLK7-AS1,MLK7 antisense RNA 1,-1.721
10775,POP4,"processing of precursor 4, ribonuclease P/MRP subunit (S. cerevisiae)",-1.72
57546,PDP2,pyruvate dehyrogenase phosphatase catalytic subunit 2,-1.72
133957,CCDC127,coiled-coil domain containing 127,-1.719
8725,URI1,"URI1, prefoldin-like chaperone",-1.719
84616,KRTAP4-4,keratin associated protein 4-4,-1.718
1519,CTSO,cathepsin O,-1.717
1353,COX11,cytochrome c oxidase assembly homolog 11 (yeast),-1.716
10983,CCNI,cyclin I,-1.715
114899,C1QTNF3,C1q and tumor necrosis factor related protein 3,-1.714
55064,SPATA6L,spermatogenesis associated 6-like,-1.714
266919,LINC00307,long intergenic non-protein coding RNA 307,-1.713
100506070,RBFADN,RBFA downstream neighbor (non-protein coding),-1.713
122651,RNASE11,"ribonuclease, RNase A family, 11 (non-active)",-1.713
197131,UBR1,ubiquitin protein ligase E3 component n-recognin 1,-1.713
10947,AP3M2,"adaptor-related protein complex 3, mu 2 subunit",-1.712
900,CCNG1,cyclin G1,-1.71
4883,NPR3,natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C),-1.71
101929464,LOC101929464,uncharacterized LOC101929464,-1.708
401097,C3orf80,chromosome 3 open reading frame 80,-1.707
56650,CLDND1,claudin domain containing 1,-1.706
2339,FNTA,"farnesyltransferase, CAAX box, alpha",-1.706
57711,ZNF529,zinc finger protein 529,-1.706
868,CBLB,"Cbl proto-oncogene B, E3 ubiquitin protein ligase",-1.705
100126791,EGOT,eosinophil granule ontogeny transcript (non-protein coding),-1.704
54865,GPATCH4,G patch domain containing 4,-1.704
100272147,CMC4,C-x(9)-C motif containing 4,-1.703
150771,ITPRIPL1,"inositol 1,4,5-trisphosphate receptor interacting protein-like 1",-1.703
414926,LINC00593,long intergenic non-protein coding RNA 593,-1.703
51602,NOP58,NOP58 ribonucleoprotein,-1.703
85452,KIAA1751,KIAA1751,-1.702
3094,HINT1,histidine triad nucleotide binding protein 1,-1.7
55093,WDYHV1,WDYHV motif containing 1,-1.699
7574,ZNF26,zinc finger protein 26,-1.699
169166,SNX31,sorting nexin 31,-1.698
54906,FAM208B,"family with sequence similarity 208, member B",-1.697
152926,PPM1K,"protein phosphatase, Mg2+/Mn2+ dependent, 1K",-1.697
100652770,LOC100652770,uncharacterized LOC100652770,-1.697
7753,ZNF202,zinc finger protein 202,-1.697
641518,LEF1-AS1,LEF1 antisense RNA 1,-1.696
8165,AKAP1,A kinase (PRKA) anchor protein 1,-1.695
286122,C8orf31,chromosome 8 open reading frame 31,-1.695
55007,FAM118A,"family with sequence similarity 118, member A",-1.695
92912,UBE2Q2,ubiquitin-conjugating enzyme E2Q family member 2,-1.695
100129195,ZSCAN16-AS1,ZSCAN16 antisense RNA 1,-1.695
57221,KIAA1244,KIAA1244,-1.694
9459,ARHGEF6,Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6,-1.694
7326,UBE2G1,ubiquitin-conjugating enzyme E2G 1,-1.693
5189,PEX1,peroxisomal biogenesis factor 1,-1.692
57228,SMAGP,small cell adhesion glycoprotein,-1.692
6526,SLC5A3,"solute carrier family 5 (sodium/myo-inositol cotransporter), member 3",-1.692
101927803,LOC101927803,uncharacterized LOC101927803,-1.692
7334,UBE2N,ubiquitin-conjugating enzyme E2N,-1.691
5965,RECQL,RecQ protein-like (DNA helicase Q1-like),-1.69
98,ACYP2,"acylphosphatase 2, muscle type",-1.689
1236,CCR7,chemokine (C-C motif) receptor 7,-1.689
10541,ANP32B,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B",-1.688
8911,CACNA1I,"calcium channel, voltage-dependent, T type, alpha 1I subunit",-1.688
23588,KLHDC2,kelch domain containing 2,-1.688
641638,SNHG6,small nucleolar RNA host gene 6 (non-protein coding),-1.688
79672,FN3KRP,fructosamine 3 kinase related protein,-1.686
155400,NSUN5P1,"NOP2/Sun domain family, member 5 pseudogene 1",-1.686
5980,REV3L,"REV3-like, polymerase (DNA directed), zeta, catalytic subunit",-1.686
80335,WDR82,WD repeat domain 82,-1.685
3728,JUP,junction plakoglobin,-1.684
5602,MAPK10,mitogen-activated protein kinase 10,-1.684
199692,ZNF627,zinc finger protein 627,-1.683
119504,ANAPC16,anaphase promoting complex subunit 16,-1.682
147694,ZNF548,zinc finger protein 548,-1.682
158586,ZXDB,"zinc finger, X-linked, duplicated B",-1.682
89927,C16orf45,chromosome 16 open reading frame 45,-1.68
284440,LINC00663,long intergenic non-protein coding RNA 663,-1.68
9241,NOG,noggin,-1.679
79632,FAM184A,"family with sequence similarity 184, member A",-1.678
54941,RNF125,"ring finger protein 125, E3 ubiquitin protein ligase",-1.677
153241,CEP120,centrosomal protein 120kDa,-1.676
90407,TMEM41A,transmembrane protein 41A,-1.676
54532,USP53,ubiquitin specific peptidase 53,-1.676
545,ATR,ataxia telangiectasia and Rad3 related,-1.675
58483,LINC00474,long intergenic non-protein coding RNA 474,-1.675
498,ATP5A1,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle",-1.673
27086,FOXP1,forkhead box P1,-1.672
8575,PRKRA,"protein kinase, interferon-inducible double stranded RNA dependent activator",-1.672
